benchmark_mentions	benchmark_followers	benchmark_tweets	user_mentions	user_followers	user_tweets	date
6.90463397043	3703.29972453	3.41898665705	9.0	7574.16666667	6.0	2013/11/03
17.5844033107	3583.49756676	10.2555918062	8.0	7591.41666667	13.0	2013/11/10
19.5440982871	3767.45101482	8.87262857762	10.0	7629.1	9.0	2013/11/17
3.36909871245	3610.11373391	1.60515021459	3.0	7674.5	3.0	2013/11/24
6.29987799143	3804.11976883	3.85235064765	2.0	7702.4	5.0	2013/12/01
18.1483574604	3737.72883022	9.53394885472	2.0	7711.73333333	10.0	2013/12/08
17.1579107896	3942.34027399	9.47524662616	4.0	7736.5	14.0	2013/12/15
15.5457876991	3849.90689112	8.26339450829	18.0	7767.45238095	21.0	2013/12/22
8.89830508475	3872.74636804	3.63983050847	2.0	7778.85714286	0.0	2013/12/29
9.63652790492	3881.66824234	5.44029885249	2.0	7791.14285714	2.0	2014/01/05
11.8328830562	3908.76901622	5.77601437874	18.0	7821.5	8.0	2014/01/12
19.8220298113	3936.27216327	9.3302589585	21.0	7856.35714286	15.0	2014/01/19
22.996457854	3969.88944197	3.97289546716	9.0	7880.07142857	10.0	2014/01/26
18.1583887516	3982.3958673	9.80810608988	7.0	7903.5	13.0	2014/02/02
